,Song,Artist,position,id,Keywords,lyrics
27,Dynamite,Taio Cruz,50,27,"hands, air, dynamite, ay, dance","I came to dance-dance-dance-dance (Yeah)
I hit the floor 'cause that's my plans plans plans plans (Yeah)
I'm wearing all my favorite brands brands brands brands (Yeah)
Give me some space for both my hands hands hands hands
Yeah yeah 'cause it goes on and on and on
And it goes on and on and on yeah

I throw my hands up in the air sometimes,
Saying ayeoh, gotta let go
I wanna celebrate and live my life,
Saying ay-oh, baby let's go
'Cause we gon' rock this club,
We gon' go all night,
We gon' light it up,
Like it's dynamite
'Cause I told you once,
Now I told you twice,
We gon' light it up,
Like it's dynamite

I came to move move move move,
Get out the way of me and my crew crew crew crew, (Yea)
I'm in the club so I'm gonna do do do do, (Yea)
Just what I came here to do do do do,
Yeah yeah 'cause it goes on and on and on
And it goes on and on and on yeah

I throw my hands up in the air sometimes,
Saying ay-oh, gotta let go
I wanna celebrate and live my life,
Saying ay-oh, baby let's go
'Cause we gon rock this club,
We gon' go all night,
We gon' light it up,
Like it's dynamite
'Cause I told you once,
Now I told you twice,
We gon' light it up,
Like it's dynamite

I'm gonna take it all I,
I'm gonna be the last one standing,
Higher overall I,
I'm gonna be the last one landing 'cause I, I, I
Believe it, and I, I, I
I just want it all, I just want it all,
I'm gonna put my hands in the air, hands in the air
Put your hands in the air

I throw my hands up in the air sometimes,
Saying ay-oh, gotta let go
I wanna celebrate and live my life,
Saying ay-oh, baby let's go
'Cause we gon rock this club,
We gon' go all night,
We gon' light it up,
Like it's dynamite
'Cause I told you once,
Now I told you twice,
We gon' light it up,
Like it's dynamite"
28,Lucid Dreams,Juice WRLD,51,28,"heart, shadows, room, head, better","Enviyon on a mix
No, no, no, no
No no no, no, no
No, no, no, no, no (no)
No, no, no

I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh
Easier said than done
I thought you were the one
Listenin' to my heart instead of my head
You found another one
But I am the better one
I won't let you forget me
I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh
Easier said than done
I thought you were the one
Listenin' to my heart instead of my head
You found another one
But I am the better one
I won't let you forget me

You left me falling and landing inside my grave
I know that you want me dead
I take prescriptions to make me feel a-okay
I know it's all in my head
I have these lucid dreams where I can't move a thing
Thinking of you in my bed
You were my everything
Thoughts of a wedding ring
Now I'm just better off dead
I'll do it over again
I didn't want it to end
I watch it blow in the wind
I should've listened to my friends
Did this shit in the past
But I want it to last
You were made outta plastic, fake
I was tangled up in your drastic ways
Who knew evil girls had the prettiest face?
You gave me a heart that was full of mistakes
I gave you my heart and you made heart break

You made my heart break
You made my heart ache (I still see your shadows in my room)
You made my heart break
You made my heart ache (can't take back the love that I gave you)
You made my heart break (were made outta plastic, fake)
You made my heart ache (I still see your shadows in my room)
You made my heart break again (I was tangled up your drastic ways)
Who knew evil girls had the prettiest face?

I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh
Easier said than done
I thought you were the one
Listenin' to my heart instead of my head
You found another one
But I am the better one
I won't let you forget me
I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh
Easier said than done
I thought you were the one
Listenin' to my heart instead of my head
You found another one
But I am the better one
I won't let you forget me

Did this shit in the past but I want it to last
You were made outta plastic, fake
I was tangled up in your drastic ways
Who knew evil girls had the prettiest face?
Easier said than done
I thought you were
Instead of my head
You found another
Better one
I won't let you forget me"
29,Hello,Adele,52,29,"sorry, times, home, outside, heart","Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya
But I ain't done much healing

Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet

There's such a difference between us
And a million miles

Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home

Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?

It's no secret that the both of us are running out of time

So hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home

Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

Oooooh, anymore
Oooooh, anymore
Oooooh, anymore
Anymore

Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home

Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore"
30,Grenade,Bruno Mars,54,30,"trash, baby, grenade, head, blade","Easy come, easy go, that's just how you live oh
Take, take, take it all, but you never give
Should have known you was trouble from the first kiss
Had your eyes wide open,
Why were they open?

Gave you all I had and you tossed it in the trash
You tossed it in the trash, you did
To give me all your love is all I ever asked 'cause
What you don't understand is I'd catch a grenade for ya (yeah, yeah)
Throw my head on a blade for ya (yeah, yeah)
I'd jump in front of a train for ya (yeah, yeah)
You know I'd do anything for ya (yeah, yeah)

Oh oh, I would go through all this pain
Take a bullet straight through my brain
Yes, I would die for ya baby
But you won't do the same

No, no, no, no
Black, black, black and blue,
Beat me 'til I'm numb,
Tell the devil I said 'hey' when you get back to where you're from
Mad woman, bad woman
That's just what you are,
Yeah you'll smile in my face then rip the brakes out my car

Gave you all I had and you tossed it in the trash
You tossed it in the trash, yes you did
To give me all your love is all I ever asked
'Cause what you don't understand is

I'd catch a grenade for ya (yeah, yeah)
Throw my head on a blade for ya (yeah, yeah)
I'd jump in front of a train for ya (yeah, yeah)
You know I'd do anything for ya (yeah, yeah)

Oh oh, I would go through all this pain,
Take a bullet straight through my brain,
Yes, I would die for ya baby,
But you won't do the same

If my body was on fire,
Oh you'd watch me burn down in flames
You said you loved me you're a liar 'cause you never,
Ever, ever did baby

But darling I'll still catch a grenade for ya (yeah, yeah)
Throw my head on a blade for ya (yeah, yeah)
I'd jump in front of a train for ya (yeah, yeah)
You know I'd do anything for ya (yeah, yeah)

Oh oh I would go through all this pain
Take a bullet straight through my brain
Yes, I would die for ya baby
But you won't do the same
No, you won't do the same
You wouldn't do the same
Oh, you'll never do the same
No, no, no, no"
31,"Hey, Soul Sister",Train,55,31,"soul, sister, tonight, single, way","Hey, hey, hey

Your lipstick stains
On the front lobe of my left side brains
I knew I wouldn't forget you
And so I went and let you blow my mind

Your sweet moonbeam
The smell of you in every single dream I dream
I knew when we collided
You're the one I have decided who's one of my kind

Hey, soul sister
Ain't that Mr. Mister on the radio, stereo
The way you move ain't fair, you know
Hey, soul sister
I don't wanna miss a single thing you do tonight

Hey, hey, hey

Just in time
I'm so glad you have a one-track mind like me
You gave my life direction
A game show love connection we can't deny

I'm so obsessed
My heart is bound to beat right out my untrimmed chest
I believe in you, like a virgin, you're Madonna
And I'm always gonna wanna blow your mind

Hey, soul sister
Ain't that Mr. Mister on the radio, stereo
The way you move ain't fair, you know
Hey, soul sister
I don't wanna miss a single thing you do tonight

The way you can cut a rug
Watching you is the only drug I need
So gangsta, I'm so thug
You're the only one I'm dreaming of
You see, I can be myself now finally
In fact, there's nothing I can't be
I want the world to see you'll be with me

Hey, soul sister
Ain't that Mr. Mister on the radio, stereo
The way you move ain't fair, you know
Hey, soul sister
I don't wanna miss a single thing you do tonight
Hey, soul sister
I don't wanna miss a single thing you do tonight
Hey, hey, hey (tonight)
Hey, hey, hey (tonight)"
32,Wake Me Up!,Avicii,57,32,"wiser, older, time, young, life","Feeling my way through the darkness
Guided by a beating heart
I can't tell where the journey will end
But I know where to start

They tell me I'm too young to understand
They say I'm caught up in a dream
Well, life will pass me by if I don't open up my eyes
Well, that's fine by me

So wake me up when it's all over
When I'm wiser and I'm older
All this time I was finding myself, and I
Didn't know I was lost

So wake me up when it's all over
When I'm wiser and I'm older
All this time I was finding myself, and I
Didn't know I was lost

I tried carrying the weight of the world
But I only have two hands
Hope I get the chance to travel the world
But I don't have any plans

Wish that I could stay forever this young
Not afraid to close my eyes
Life's a game made for everyone
And love is the prize

So wake me up when it's all over
When I'm wiser and I'm older
All this time I was finding myself, and I
Didn't know I was lost

So wake me up when it's all over
When I'm wiser and I'm older
All this time I was finding myself, and I
I didn't know I was lost

I didn't know I was lost
I didn't know I was lost
I didn't know I was lost
I didn't know, didn't know, didn't know"
33,Bad Guy,Billie Eilish,61,33,"guy, bad, type, mad, tough","White shirt, now red my bloody nose
Sleeping, you're on your tippy toes
Creeping around like nobody knows
Think you're so criminal
Bruises, on both my knees for you
Don't say thank you or please ¨
I do what I want when I'm wanting to
My soul? So cynical

So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy
I'm that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I'm the bad guy, duh

I like it when you take control
Even if you know that you don't
Own me, I'll let you play the role
I'll be your animal
My mommy likes to sing along with me
But she won't sing this song
If she reads all the lyrics
She'll pity the men I know

So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy
I'm that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I'm the bad guy, duh
I'm only good at being bad

I like it when you get mad
I guess I'm pretty glad
That you're alone
You say she's scared of me? I mean
I don't see what she sees
But maybe it's 'cause I'm wearing your cologne

I'm a bad guy
I'm a bad guy
Bad guy, bad guy
I'm a bad"
34,Can't Feel My Face,The Weeknd,63,34,"face, love, death, numb, best","And I know she'll be the death of me, at least we'll both be numb
And she'll always get the best of me, the worst is yet to come
But at least we'll both be beautiful and stay forever young
This I know, yeah, this I know

She told me, ""Don't worry about it""
She told me, ""Don't worry no more""
We both know we can't go without it
She told me you'll never be in love, oh, oh, woo

I can't feel my face when I'm with you
But I love it, but I love it, oh

I can't feel my face when I'm with you
But I love it, but I love it, oh
And I know she'll be the death of me, at least we'll both be numb
And she'll always get the best of me, the worst is yet to come

All the misery was necessary when we're deep in love
This I know, girl, I know
She told me, ""Don't worry about it""
She told me, ""Don't worry no more""

We both know we can't go without it
She told me you'll never be in love, oh, oh, woo

I can't feel my face when I'm with you
But I love it, but I love it, oh

I can't feel my face when I'm with you
But I love it, but I love it, oh
I can't feel my face when I'm with you
But I love it, but I love it, oh

I can't feel my face when I'm with you
But I love it, but I love it, oh
She told me, ""Don't worry about it""
She told me, ""Don't worry no more""
We both know we can't go without it
She told me you'll never be in love, oh, oh, woo
I can't feel my face when I'm with you
But I love it, but I love it, oh
I can't feel my face when I'm with you
But I love it, but I love it, oh"
35,Blank Space,Taylor Swift,65,35,"long, list, ex, lovers, insane","Nice to meet you, where you been?
I could show you incredible things
Magic, madness, heaven, sin
Saw you there and I thought
""Oh, my God, look at that face!""
You look like my next mistake
Love's a game, wanna play?

New money, suit and tie
I can read you like a magazine
Ain't it funny? Rumors fly
And I know you heard about me
So hey, let's be friends
I'm dying to see how this one ends
Grab your passport and my hand
I can make the bad guys good for a weekend

So it's gonna be forever
Or it's gonna go down in flames
You can tell me when it's over
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
'Cause you know I love the players
And you love the game

'Cause we're young and we're reckless
We'll take this way too far
It'll leave you breathless
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your name

Cherry lips, crystal skies
I could show you incredible things
Stolen kisses, pretty lies
You're the King, baby, I'm your Queen
Find out what you want
Be that girl for a month
Wait, the worst is yet to come, oh no

Screaming, crying, perfect storms
I can make all the tables turn
Rose garden filled with thorns
Keep you second guessing like
""Oh, my God, who is she?""
I get drunk on jealousy
But you'll come back each time you leave
'Cause, darling, I'm a nightmare dressed like a daydream

So it's gonna be forever
Or it's gonna go down in flames
You can tell me when it's over
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
'Cause you know I love the players
And you love the game

'Cause we're young and we're reckless
We'll take this way too far
It'll leave you breathless
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your name

Boys only want love if it's torture
Don't say I didn't say, I didn't warn ya
Boys only want love if it's torture
Don't say I didn't say, I didn't warn ya

So it's gonna be forever
Or it's gonna go down in flames
You can tell me when it's over
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
'Cause you know I love the players
And you love the game

'Cause we're young and we're reckless
We'll take this way too far
It'll leave you breathless
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your name"
36,Need You Now,Lady Antebellum,68,36,"quarter, mind, time, control, little","Picture perfect memories
Scattered all around the floor
Reaching for the phone cause
I can't fight it anymore

And I wonder if I ever cross your mind
For me it happens all the time

It's a quarter after one
I'm all alone and I need you now
Said I wouldn't call, but I lost all control
And I need you now
And I don't know how I can do without
I just need you now

---
Another shot of whiskey
Can't stop looking at the door

Wishing you'd come sweeping in the way you did before
And I wonder if I ever cross your mind

For me it happens all the time
It's a quarter after one
I'm a little drunk and I need you now
Said I wouldn't call, but I lost all control
And I need you now
And I don't know how I can do without

I just need you now

---

(Whoa-whoa)
---
Guess I rather hurt than feel nothing at all
It's a quarter after one
I'm all alone and I need you now
And I said I wouldn't call
But I'm a little drunk and I need you now
And I don't know how I can do without
I just need you now
I just need you now
Oh, baby, I need you now"
37,7 Rings,Ariana Grande,69,37,"hair, thanks, money, diamonds, neck","[Verse 1]
Yeah, breakfast at Tiffany's and bottles of bubbles
Girls with tattoos who like getting in trouble
Lashes and diamonds, ATM machines
Buy myself all of my favorite things (Yeah)
Been through some bad shit, I should be a sad bitch
Who woulda thought it'd turn me to a savage?
Rather be tied up with cuffs and not strings
Write my own checks like I write what I sing, yeah (Yeah)

[Pre-Chorus 1]
My wrist, stop watchin', my neck is flossin'
Make big deposits, my gloss is poppin'
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (Yeah)

[Chorus]
I want it, I got it, I want it, I got it
I want it, I got it, I want it, I got it
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (Yeah)

[Verse 2]
Wearing a ring, but ain't gon' be no ""Mrs.""
Bought matching diamonds for six of my bitches
I'd rather spoil all my friends with my riches
Think retail therapy my new addiction
Whoever said money can't solve your problems
Must not have had enough money to solve 'em
They say, ""Which one?"" I say, ""Nah, I want all of 'em""
Happiness is the same price as red-bottoms

[Pre-Chorus 2]
My smile is beamin', my skin is gleamin'
The way it shine, I know you've seen it (You've seen it)
I bought a crib just for the closet
Both his and hers, I want it, I got it, yeah

[Chorus]
I want it, I got it, I want it, I got it
I want it, I got it, I want it, I got it (Baby)
You like my hair? Gee, thanks, just bought it (Oh yeah)
I see it, I like it, I want it, I got it (Yeah)

[Verse 3]
I got my receipts, be lookin' like phone numbers
If it ain't money, then wrong number
Black card is my business card
The way it be settin' the tone for me
I don't mean to brag, but I be like, ""Put it in the bag,"" yeah
When you see them racks, they stacked up like my ass, yeah
Shoot, go from the store to the booth
Make it all back in one loop, give me the loot
Never mind, I got the juice
Nothing but net when we shoot
Look at my neck, look at my jet
Ain't got enough money to pay me respect
Ain't no budget when I'm on the set
If I like it, then that's what I get, yeah

[Chorus]
I want it, I got it, I want it, I got it (Yeah)
I want it, I got it, I want it, I got it (Oh yeah, yeah)
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (Yeah)"
38,Stay With Me,Sam Smith,70,38,"love, clear, darling, good, true","Guess it's true
I'm not good at a one night stand
But I still need love 'cause I'm just man
These nights never seem to go to plan
I don't want you to leave
Will you hold my hand

Oh, won't you stay with me
'Cause you're all I need
This ain't love, it's clear to see
But darling, stay with me

Why am I so emotional?!
No it's not a good look, gain some self control
Deep down I know this never works?
But you could lay with me
So it doesn't hurt

Oh, won't you stay with me
'Cause you're all I need
This ain't love, it's clear to see
But darling, stay with me

Oooh oh ooh oooh ooooh oh
Oooh oh ooh oooh ooooh oh

Oh, won't you stay with me
'Cause you're all I need
This ain't love, it's clear to see
But darling, stay with me
Oh, wont you stay with me
Cause you're all I need
This ain't love its clear to see
But darling
Stay with me"
39,Better Now,Post Malone,72,39,"better, woulda, rollin, life, lookin","You probably think that you are better now, better now
You only say that 'cause I'm not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything

You know I say that I am better now, better now
I only say that 'cause you're not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything

I did not believe that it would end, no
Everything came second to the Benz, oh
You're not even speakin' to my friends, no
You knew all my uncles and my aunts though

Twenty candles, blow 'em out and open your eyes
We were lookin' forward to the rest of our lives
Used to keep my picture posted by your bedside
Now it's in your dresser with the socks you don't like

And I'm rollin', rollin', rollin', rollin'
With my brothers like it's Jonas, Jonas
Drinkin' Henny and I'm tryna forget
But I can't get this shit outta my head

You probably think that you are better now, better now
You only say that 'cause I'm not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything

You know I say that I am better now, better now
I only say that 'cause you're not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything

I seen you with your other dude
He seemed like he was pretty cool
I was so broken over you
Life it goes on, what can you do?

I just wonder what it's gonna take
Another foreign or a bigger chain
Because no matter how my life has changed
I keep on lookin' back on better days

You probably think that you are better now, better now
You only say that 'cause I'm not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything

You know I say that I am better now, better now
I only say that 'cause you're not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
Oh-oh

I promise, I swear to you I'll be okay
You're only the love of my life

You probably think that you are better now, better now
You only say that 'cause I'm not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything

You know I say that I am better now, better now
I only say that 'cause you're not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
Oh-oh"
40,Roar,Katy Perry,73,40,"champion, eye, tiger, fighter, fire","I used to bite my tongue and hold my breath
Scared to rock the boat and make a mess
So I sat quietly
Agreed politely

I guess that I forgot I had a choice
I let you push me past the breaking point
I stood for nothing
So I fell for everything

You held me down, but I got up
Already brushing off the dust
You hear my voice, You hear that sound
Like thunder gonna shake the ground
You held me down, but I got up
Get ready 'cause I've had enough
I see it all, I see it now

I got the eye of the tiger, a fighter,
dancing through the fire
Cause I am a champion and
You're gonna hear me ROAR
Louder, louder than a lion
Cause I am a champion and
You're gonna hear me ROAR
Oh oh oh oh oh oh
You're gonna hear me roar

Now I'm floating like a butterfly
Stinging like a bee I earned my stripes
I went from zero, to my own hero

You held me down, but I got up
Already brushing off the dust
You hear my voice, You hear that sound
Like thunder gonna shake the ground
You held me down, but I got up
Get ready 'cause I've had enough
I see it all, I see it now

I got the eye of the tiger, a fighter,
dancing through the fire
Cause I am a champion and
You're gonna hear me ROAR
Louder, louder than a lion
Cause I am a champion and
You're gonna hear me ROAR
Oh oh oh oh oh oh
You're gonna hear me roar

Roar-or, roar-or, roar-or

I got the eye of the tiger, a fighter,
dancing through the fire
Cause I am a champion and
You're gonna hear me ROAR
Louder, louder than a lion
Cause I am a champion and
You're gonna hear me ROAR
Oh oh oh oh oh oh
You're gonna hear me roar"
41,Rude,MAGIC!,74,41,"rude, girl, daughter, rest, life","Saturday morning, jumped out of bed
And put on my best suit
Got in my car, raced like a jet
All the way to you

Knocked on your door with heart in my hand
To ask you a question
'Cause I know that you're an old-fashioned man
Yeah, yeah

Can I have your daughter for the rest of my life?
Say yes, say yes, 'cause I need to know
You say I'll never get your blessing till the day I die
""Tough luck, my friend, but the answer is no!""

Why you gotta be so rude?
Don't you know I'm human too?
Why you gotta be so rude?
I'm gonna marry her anyway

Marry that girl
Marry her anyway
Marry that girl
Yeah, no matter what you say
Marry that girl
And we'll be a family
Why you gotta be so rude?

I hate to do this, you leave no choice
Can't live without her
Love me or hate me, we will be boys
Standing at that altar

Or we will run away
To another galaxy, you know
You know she's in love with me
She will go anywhere I go

Can I have your daughter for the rest of my life?
Say yes, say yes, 'cause I need to know
You say I'll never get your blessing till the day I die
""Tough luck, my friend, 'cause the answer's still no!""

Why you gotta be so rude?
Don't you know I'm human too?
Why you gotta be so rude?
I'm gonna marry her anyway

Marry that girl
Marry her anyway
Marry that girl
No matter what you say
Marry that girl
And we'll be a family
Why you gotta be so rude?
Rude

Can I have your daughter for the rest of my life?
Say yes, say yes, 'cause I need to know
You say I'll never get your blessing till the day I die
""Tough luck, my friend, but no still means no""

Why you gotta be so rude?
Don't you know I'm human too?
Why you gotta be so rude?
I'm gonna marry her anyway

Marry that girl
Marry her anyway
Marry that girl
No matter what you say
Marry that girl
And we'll be a family

Why you gotta be so rude?
Why you gotta be so rude?
Why you gotta be so rude?"
42,"Thank U, Next",Ariana Grande,75,42,"fuckin, patience, pain, amazing, grateful","Thought I'd end up with Sean
But he wasn't a match
Wrote some songs about Ricky
Now I listen and laugh
Even almost got married
And for Pete, I'm so thankful
Wish I could say, ""Thank you"" to Malcolm
'Cause he was an angel

One taught me love
One taught me patience
And one taught me pain
Now, I'm so amazing
I've loved and I've lost
But that's not what I see
So, look what I got
Look what you taught me
And for that, I say

Thank you, next (next)
Thank you, next (next)
Thank you, next
I'm so fuckin' grateful for my ex
Thank you, next (next)
Thank you, next (next)
Thank you, next (next)
I'm so fuckin'...

Spend more time with my friends
I ain't worried 'bout nothin'
Plus, I met someone else
We havin' better discussions
I know they say I move on too fast
But this one gon' last
'Cause her name is Ari
And I'm so good with that (so good with that)

She taught me love (love)
She taught me patience (patience)
How she handles pain (pain)
That shit's amazing (yeah, she's amazing)
I've loved and I've lost (yeah, yeah)
But that's not what I see (yeah, yeah)
'Cause look what I've found (yeah, yeah)
Ain't no need for searching, and for that, I say

Thank you, next (thank you, next)
Thank you, next (thank you, next)
Thank you, next (thank you)
I'm so fuckin' grateful for my ex
Thank you, next (thank you, next)
Thank you, next (said thank you, next)
Thank you, next (next)
I'm so fuckin' grateful for my ex

Thank you, next
Thank you, next
Thank you, next
I'm so fucking...

One day I'll walk down the aisle
Holding hands with my mama
I'll be thanking my dad
'Cause she grew from the drama
Only wanna do it once, real bad
Gon' make that shit last
God forbid something happens
Least this song is a smash (song is a smash)

I've got so much love (love)
Got so much patience (patience)
I've learned from the pain (pain)
I turned out amazing (turned out amazing)
I've loved and I've lost (yeah, yeah)
But that's not what I see (yeah, yeah)
'Cause look what I've found (yeah, yeah)
Ain't no need for searching
And for that, I'll say

Thank you, next (thank you, next)
Thank you, next (thank you, next)
Thank you, next
I'm so fuckin' grateful for my ex
Thank you, next (thank you, next)
Thank you, next (said thank you, next)
Thank you, next (next)
I'm so fuckin' grateful for my ex

Thank you, next
Thank you, next
Thank you, next
Yeah, yee
Thank you, next
Thank you, next
Thank you, next
Yeah, yee"
43,Sugar,Maroon 5,76,43,"little, sugar, love, loving, sympathy","I'm hurting, baby, I'm broken down
I need your loving, loving, I need it now
When I'm without you
I'm something weak
You got me begging
Begging, I'm on my knees

I don't wanna be needing your love
I just wanna be deep in your love
And it's killing me when you're away
Ooh, baby
'Cause I really don't care where you are
I just wanna be there where you are
And I gotta get one little taste

Your sugar
Yes, please
Won't you come and put it down on me
I'm right here, 'cause I need
Little love and little sympathy
Yeah you show me good loving
Make it alright
Need a little sweetness in my life
Your sugar
Yes, please
Won't you come and put it down on me

My broken pieces
You pick them up
Don't leave me hanging, hanging
Come give me some
When I'm without ya
I'm so insecure
You are the one thing
The one thing, I'm living for

I don't wanna be needing your love
I just wanna be deep in your love
And it's killing me when you're away
Ooh, baby
'Cause I really don't care where you are
I just wanna be there where you are
And I gotta get one little taste

Your sugar
Yes, please
Won't you come and put it down on me
I'm right here, 'cause I need
Little love and little sympathy
Yeah you show me good loving
Make it alright
Need a little sweetness in my life
Your Sugar! (Your sugar!)
Yes, please (Yes, please)
Won't you come and put it down on me

Yeah
I want that red velvet
I want that sugar sweet
Don't let nobody touch it
Unless that somebody's me
I gotta be a man
There ain't no other way
'Cause girl you're hotter than southern California Bay

I don't wanna play no games
I don't gotta be afraid
Don't give all that shy shit
No make up on, that's my

Sugar
Yes, please
Won't you come and put it down on me (down on me!)
Oh, right here (right here)
'Cause I need (I need)
Little love and little sympathy
Yeah you show me good loving
Make it alright
Need a little sweetness in my life
Your sugar! (Sugar!)
Yes, please (Yes, please)
Won't you come and put it down on me

Your sugar
Yes, please
Won't you come and put it down on me
I'm right here, 'cause I need
Little love and little sympathy
Yeah you show me good loving
Make it alright
Need a little sweetness in my life
Your sugar
Yes, please
Won't you come and put it down on me
(Down on me, down on me)"
44,Bodak Yellow (Money Moves),Cardi B,80,44,"bitch, money, bloody, moves, hoes","Said little bitch, you can't fuck with me
If you wanted to
These expensive, these is red bottoms
These is bloody shoes
Hit the store, I can get them both
I don't wanna choose
And I'm quick, cut a nigga off
So don't get comfortable
Look, I don't dance now
I make money moves
Say I don't gotta dance
I make money move
If I see you and I don't speak
That means I don't fuck with you
I'm a boss, you a worker bitch
I make bloody moves


Now she say she gon' do what to who?
Let's find out and see, Cardi B
You know where I'm at
You know where I be
You in the club just to party
I'm there, I get paid a fee
I be in and out them banks so much
I know they're tired of me
Honestly, don't give a fuck 'bout who in front of me
Dropped two mixtapes in six months
What bitch working as hard as me?
I don't bother with these hoes
Don't let these hoes bother me
They see pictures, they say ""Goals""
Bitch, I'm who they tryna be
Look, I might just chill in some BAPE
I might just chill with your boo
I might just feel on your babe
My pussy feel like a lake
He wanna swim with his face
I'm like ""Okay""
I'll let him did what he want
He buy me Yves Saint Laurent
And the new whip
When I go fast as a horse
I got the trunk in the front
I'm the hottest in the street
Know you prolly heard of me
Got a bag and fixed my teeth
Hope you hoes know it ain't cheap
And I pay my mama bills
I ain't got no time to chill
Think these hoes be mad at me
Their baby father want a feel


Said little bitch, you can't fuck with me
If you wanted to
These expensive, these is red bottoms
These is bloody shoes
Hit the store, I can get them both
I don't wanna choose
And I'm quick cut a nigga off
So don't get comfortable
Look, I don't dance now
I make money moves
Say I don't gotta dance
I make money move
If I see you and I don't speak
That means I don't fuck with you
I'm a boss, you a worker bitch
I make bloody moves

If you a pussy you get popped
You a groupie, you a opp
Bet you come around my way
You can't hang around my block
And I just checked my accounts
Turns out, I'm rich, I'm rich, I'm rich
I put my hand above my hip
I bet you dip, he dip, she dip
I say I get the money and go
This shit is hot like a stove
My pussy glitter as gold
Tell that lil bitch play her role
I just a-rove in a Rolls
I just came up in a Wraith
I need to fill up the tank
No, I need to fill up the safe
I need to let all these hoes know
That none of their niggas is safe
I go to dinner and steak
Only the real can relate
I used to live in the P's
Now it's a crib with a gate
Roly got charms, look like frosted flakes
I had to let these bitches know
Just in case these hoes forgot
I just run and check the mail
Another check from Mona Scott



Said little bitch, you can't fuck with me
If you wanted to
These expensive, these is red bottoms
These is bloody shoes
Hit the store, I can get them both
I don't wanna choose
And I'm quick cut a nigga off
So don't get comfortable
Look, I don't dance now
I make money moves
Say I don't gotta dance
I make money move
If I see you and I don't speak
That means I don't fuck with you
I'm a boss, you a worker bitch
I make bloody moves"
